"","men_Pt004_RPLCneg","men_Pt007_RPLCneg","men_Pt008_RPLCneg","men_Pt010_RPLCneg","men_Pt013_RPLCneg","men_Pt020_RPLCneg","men_Pt025_RPLCneg","men_Pt027_RPLCneg","men_Pt047_RPLCneg","men_Pt060_RPLCneg","men_Pt063_RPLCneg","men_Pt068_RPLCneg","men_Pt074_RPLCneg","men_Pt089_RPLCneg","men_Pt095_RPLCneg","men_Pt110_RPLCneg","men_Pt116_RPLCneg","woman_Pt003_RPLCneg","woman_Pt005_RPLCneg","woman_Pt019_RPLCneg","woman_Pt022_RPLCneg","woman_Pt032_RPLCneg","woman_Pt036_RPLCneg","woman_Pt038_RPLCneg","woman_Pt044_RPLCneg","woman_Pt055_RPLCneg","woman_Pt058_RPLCneg","woman_Pt070_RPLCneg","woman_Pt085_RPLCneg","woman_Pt086_RPLCneg","woman_Pt087_RPLCneg","woman_Pt092_RPLCneg","woman_Pt105_RPLCneg","woman_Pt113_RPLCneg","woman_Pt119_RPLCneg","woman_Pt122_RPLCneg","woman_Pt123_RPLCneg","woman_Pt164_RPLCneg","woman_Pt170_RPLCneg","men_HCW011_RPLCneg","men_HCW012_RPLCneg","men_HCW036_RPLCneg","men_HCW059_RPLCneg","men_HCW067_RPLCneg","men_HCW237_RPLCneg","men_HCW282_RPLCneg","men_HCW564_RPLCneg","men_HCW574_RPLCneg","men_HCW578_RPLCneg","woman_HCW002_RPLCneg","woman_HCW008_RPLCneg","woman_HCW019_RPLCneg","woman_HCW035_RPLCneg","woman_HCW045_RPLCneg","woman_HCW080_RPLCneg","woman_HCW099_RPLCneg","woman_HCW103_RPLCneg","woman_HCW105_RPLCneg","woman_HCW114_RPLCneg"
"Label","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","HC","HC","HC","HC","HC","HC","HC","HC","HC","HC","HC","HC","HC","HC","HC","HC","HC","HC","HC","HC"
"76.9692@482.31","101814.63986","93332.78829","112988.88577","121257.91097","110666.49814","95739.01115","111719.98392","114472.59991","111627.82582","108998.97911","104994.47851","55031.52288","112143.22732","116129.38723","109454.0393","111090.38773","105715.72133","98763.54438","100148.94021","104843.00696","109599.99914","99086.71388","111910.38451","102989.96891","101879.06013","123865.93453","92380.41423","91916.81286","107460.76182","110020.28344","98940.22335","87421.2779","100631.9159","93294.30364","104390.69067","90464.01118","105953.10774","96656.84498","90889.5288","130605.5471","111218.32178","112436.84875","115072.67592","53400.20475","112342.96266","113487.25169","112161.00742","121036.31468","90706.84009","105808.89363","109564.22123","104127.29431","127339.83938","111615.96004","125491.1151","116378.76972","82002.8927","107395.27808","103812.13276"
"89.0243@30.62","91940.54266","86787.74121","74730.25261","49193.20623","56493.52358","73001.74215","54447.05397","48276.20254","30167.57342","65235.97445","36421.85605","34576.04885","62606.94415","77869.04477","92844.98318","48941.12787","68936.40216","79077.75599","69351.11249","52009.55386","78314.65509","54638.75333","46336.59973","74980.89849","43838.70183","34595.37296","89349.7339","49572.89035","44928.87181","63898.90053","46040.2883","58173.03959","30457.86367","46087.15557","143488.08174","58371.92517","64631.88522","76036.66209","42033.92235","64657.26478","20214.31261","94966.76353","44086.02261","45391.33206","34044.48123","79430.26397","52658.98201","76474.06465","17922.06621","21376.93915","106026.33587","98171.75956","43515.11567","35013.52988","41178.81743","34070.12614","40975.28516","61189.84212","45161.15808"
"94.9797@482.45","518588.00856","508390.50358","593122.05043","575074.01259","536199.37049","505618.03012","559862.97798","624937.71387","585866.36043","588584.25597","544838.66408","554611.15675","516643.64427","571239.17837","582515.31375","570442.29984","581575.32254","531583.30211","496389.85191","481551.10979","517834.84024","542833.77962","563320.94491","530405.99775","535324.9854","600896.16493","508794.71927","525130.51779","547265.8718","530928.69922","517486.73857","510901.9923","537756.85797","531176.66617","485807.69688","500889.95562","595021.55933","532125.99445","483062.75478","638670.89342","432954.0617","557000.07064","569810.99418","553455.26744","559665.91013","583845.08465","590004.84308","614785.25636","462965.35783","550124.65168","568018.02003","540877.62755","672121.99923","577611.15913","649305.37534","538267.62255","561177.96686","558365.4134","571754.15894"
"94.9799@629.66","180200.71285","146229.51136","101740.96468","100222.80343","97812.4503","96094.12877","97690.49254","165676.0205","85154.25086","96649.00622","99663.93177","95599.5938","164943.16303","98577.76701","142419.08619","97301.7478","102112.0417","106241.36171","139058.43927","95677.36207","97501.19054","113728.057","128623.568","131514.74407","96100.37671","103420.36073","100212.50402","149879.75892","107638.30212","98255.72435","99639.94642","94379.12676","89490.85504","97227.69437","96078.04064","98875.31155","99483.94408","95638.28824","128617.0564","100534.00809","88868.71289","106673.57692","100981.62412","107657.63716","88563.15228","120930.82437","101729.6563","140555.18891","94951.03627","136391.56067","95741.62109","149701.12023","91007.02379","109818.00027","86344.01979","101487.2842","95821.4359","110553.78675","89620.75866"
"96.9592@638.38","92409.98728","87314.78773","86465.47247","114985.3312","120201.81761","78483.3458","105283.23411","78866.30701","75176.22005","82781.2029","136664.90007","82107.83944","117155.53874","113059.37237","94354.75099","75777.83022","78336.32938","88230.38872","91027.14558","138456.03235","115029.1217","95569.98201","83938.6894","79084.48695","73698.5457","104764.35897","95598.46666","84687.64407","71108.8076","109370.76638","92213.82702","88593.07858","72574.40128","84819.56433","119751.65788","75780.7609","81245.03734","72568.19552","77780.84195","129192.84816","82659.97899","91412.50077","100006.2453","92581.56298","81970.44913","92809.06991","80936.76525","107882.7177","75760.0031","77269.67302","75775.96407","92781.60544","78855.33044","85428.68342","80481.09275","153295.41354","77220.9288","97791.26867","78042.00243"
"96.9601@27.71","96173.32115","167345.64236","130600.59721","210105.2485","162779.91134","119623.24895","112491.89951","106630.86439","33672.31573","118338.38399","244990.32712","112343.61948","72441.55134","59533.42956","95492.65842","244680.39011","99006.09798","114142.22303","235573.6274","129473.53386","81030.06663","130989.5084","815657.08939","128136.69309","153807.51022","67000.60299","115712.78196","99598.60129","31597.52029","130004.0468","97778.00469","197249.91327","32910.36524","38221.0498","155795.23285","133498.5237","113587.78606","78823.73387","143694.4805","95718.1594","20916.70406","109737.5278","94151.94231","111189.7756","33678.23615","79116.27471","141319.72182","134823.29373","113113.8649","110838.88907","131737.31387","106734.56159","26322.43617","97787.93233","127552.55346","123393.39287","122147.07704","159542.36561","118356.62577"
"97.9303@635.47","420632.49801","426418.12785","445409.93723","313863.51943","309016.05038","567453.6585","371436.44837","515863.28738","546200.50154","575475.63405","363460.47103","504661.53249","285474.63612","294888.96224","429370.71254","541251.12247","527559.39419","436563.30967","531543.60564","254732.2661","277679.93713","407261.13684","490369.37855","490630.0854","534104.7537","331019.02185","375497.90549","548551.36079","546227.94967","346992.37953","392568.01311","557887.44962","545642.82694","490833.58329","264493.47689","562850.91054","494972.25903","524495.14947","565744.86694","330648.0297","533232.03757","387990.64536","360278.82089","408974.68998","534152.83749","438144.65233","515836.66736","386528.80133","558401.45547","529986.46002","515505.85575","395276.12167","562674.76651","424486.3319","529638.49058","257797.2432","546762.24922","414146.6618","533214.91553"
"98.9387@635.25","52063.42756","51043.98937","50098.51869","42794.97089","41476.04454","72973.64771","41379.49689","17334.07967","68594.82493","10156.58953","38204.4083","16428.09183","27699.40413","34341.70637","50674.66951","32363.08146","8745.92816","52267.80572","12135.56208","24418.79902","22590.85896","51191.77788","14635.65672","14256.4598","76609.45314","41837.85237","43933.00351","16752.52737","15290.56772","42046.89491","42560.96701","69257.34973","65505.36353","16460.51953","22430.08985","67608.09043","11582.77483","62172.16939","76964.88245","43819.35602","63576.10529","47439.12459","47346.31173","46266.84976","13642.20843","48889.45409","10319.73529","42213.53744","69801.74082","58659.56785","64194.11456","45558.32386","70164.06775","53071.64068","66442.10015","26531.60762","12269.31346","46021.07217","62260.43731"
"99.9248@658.25","437083.81055","482594.3604","470824.70776","243014.3433","241205.87436","673699.33954","297270.09649","548922.22662","646457.34889","618221.25233","279287.11656","556443.82143","216097.2819","216470.34778","468672.89437","590724.60838","573151.15435","481573.52151","560686.00528","200830.7399","206940.38163","391476.21526","542082.53136","513974.85937","672941.88584","274518.25181","338425.94432","596341.83187","594637.9475","300203.06175","398166.49866","645924.67867","662480.22677","520850.05968","211764.95179","695898.08522","537098.43084","602582.75015","682066.81911","258930.72872","624305.1839","387736.78574","311113.05529","434508.5671","563576.13197","476671.05435","558275.32748","371378.49111","701803.37514","621717.72805","614170.1685","409895.24304","681160.12042","464085.49281","649478.2564","209004.09783","660132.58463","362321.89028","635756.39633"
