,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
Label,B,B,C,A,C,A,B,A,A,B,B,A,C,B,A,B,C,B,A,C,C,B,B,A,B,B,A,B,A,A,C,B,C,C,C,C,B,A,C,B,A,C,A,C,C,C,B,B,B,C,A,C,C,A,B,A,B,B,A,A,B,C,C,C,B,B,B,B,C,A
['1+1'],0.0,0.0,0.0,0.0,0.0,333626.778,0.0,0.0,0.0,0.0,0.0,407583.536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,378695.328,0.0,136565.098,497846.18,267568.368,80793.653,596916.273,0.0,507845.236,0.0,0.0,651842.215,246589.697,1647525.15,417660.084,1134152.29,171969.368,0.0,1763305.72,0.0,867018.916,685838.352,672356.636,0.0,0.0,1060843.09,875875.904,0.0,2288237.25,0.0,58590.564,0.0,129902.112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['1+2'],0.0,0.0,0.0,43345.467,20383.252,161344.393,33477.754,733872.154,180171.973,145533.576,141082.106,182922.993,160020.861,0.0,73917.8,82237.991,63266.794,74693.438,15357.421,64035.109,16961.022,0.0,20513.399,17625.821,79172.689,0.0,123078.192,53845.781,0.0,42248.125,59432.799,0.0,68274.503,85844.584,112844.154,62043.244,0.0,0.0,0.0,101797.268,71644.54,1237132.94,59170.032,972545.342,173500.192,25544.388,67929.981,0.0,158731.574,202296.06,0.0,527957.275,8652823.64,15134342.5,132358.644,0.0,0.0,39402.337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['1+3'],0.0,0.0,0.0,103484.995,0.0,39631.755,0.0,0.0,56151.408,35592.786,57777.355,0.0,0.0,0.0,120971.719,328954.65,152524.612,571365.488,781529.182,642091.989,643313.238,626813.511,1491070.55,902653.336,1253761.3,47197.34,2185957.62,1819272.1,1951581.63,3020294.83,4894604.97,1396183.88,2585302.45,6992482.03,5891440.9,4708245.7,4224025.44,6280927.93,3751620.83,5212843.38,5686200.31,5113497.73,7915299.21,10530934.0,3963956.35,3391431.18,8019808.35,8817130.8,7651088.87,7495257.8,672718.177,7539049.06,353504.605,1248610.65,3961830.37,567236.376,16504432.1,12489495.7,21451214.1,22577119.3,18836647.2,21674724.1,18480709.8,12181810.0,5129009.67,7582259.0,0.0,8463434.16,14619913.7,0.0
['1+4'],0.0,0.0,0.0,68704.705,0.0,0.0,39589.738,64282.591,197727.02,38414.065,0.0,95617.858,0.0,0.0,60055.451,190148.287,23885.139,156337.67,9148.566,115813.435,0.0,0.0,233012.878,0.0,235795.858,0.0,0.0,107292.829,355545.996,0.0,51700.403,0.0,116034.522,57166.978,0.0,259908.868,837222.46,236252.352,493151.425,644087.101,95917.439,0.0,192013.53,104089.696,0.0,421941.564,1239912.7,0.0,256719.442,343575.382,64247.66,2600048.8,328211.881,82202.248,241699.726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12790.6,0.0,0.0
['1+5'],955474.978,997813.334,622733.416,688760.249,24952.535,891054.64,0.0,20189.274,818151.944,0.0,784392.196,0.0,44244.148,0.0,159734.02,0.0,38045.736,25591.467,28249.818,35999.303,0.0,0.0,0.0,41005.02,0.0,0.0,42926.976,0.0,0.0,16630.809,0.0,0.0,4760.554,4316.532,15947.751,20805.347,11047.471,94482.788,0.0,0.0,11551.067,0.0,19716.837,5462.107,0.0,0.0,0.0,0.0,172971.596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3739.259,2805.428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['1+6'],898901694.0,981263762.0,803648082.0,828139979.0,879694214.0,770749809.0,4330004382.0,1139247307.0,846814472.0,919198919.0,884666223.0,7174609521.0,1288628262.0,28288214.9,5305059703.0,6497875488.0,5684931297.0,6981278354.0,6182794227.0,4867396316.0,7892539087.0,5452456058.0,6033781085.0,6187639700.0,0.0,263383231.0,0.0,0.0,3247053340.0,3926805834.0,2925600687.0,3274810071.0,1691570150.0,3261783451.0,3854515416.0,19930337.2,249516581.0,0.0,0.0,13790734.3,0.0,0.0,0.0,0.0,21094333.9,0.0,10630686.9,9325926.94,19434816.7,34770973.4,10581603.4,937940.58,32543303.6,14867124.2,0.0,0.0,0.0,0.0,2436672.71,487386.905,0.0,511581.936,225436.133,0.0,214311.684,0.0,0.0,324414.229,0.0,5091714.21
['1+7'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,97642.971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159510.932,0.0,0.0,87701.743,0.0,0.0,100290.564,207668.593,199301.974,0.0,274903.999,208452.97,145287.423,43353.084,218180.18,155886.759,0.0,344946.806,346654.025,319415.968,90438.805,0.0,434619.597,450723.417,0.0,495378.757,0.0,480464.945,430525.227,412333.99,284885.429,27522.381,0.0,28683.804,0.0,0.0,16189.178,96010.382,119515.403,191930.528,203231.355
['1+8'],10419771.3,5950439.08,7826859.99,7558361.52,7809815.23,9540291.59,6812535.12,8850356.56,6519124.82,5890853.85,5441384.44,7869977.91,10403407.4,0.0,0.0,10780888.8,10759142.3,9422084.6,8746740.33,10220478.0,8494129.86,5973564.64,6547422.21,7982314.03,9348952.59,0.0,11220255.1,8150250.58,5542404.38,6597088.04,5366860.11,4749229.08,7679113.04,8038747.03,6392154.69,8767518.37,0.0,0.0,6532479.41,7058954.82,4904266.52,7521404.2,7532080.3,6899826.09,10999181.6,4873556.3,5025602.19,5430524.85,5669924.73,8615050.83,0.0,0.0,332959.013,823622.021,6262095.12,0.0,4130057.75,4115425.48,1824788.3,166485.687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,451792.979,484512.909
['1+9'],281786.558,126790.656,59293.762,302461.106,93000.941,336979.179,376410.813,369639.359,377601.255,436946.492,384173.109,0.0,127772.277,0.0,242856.816,308025.594,109174.01,217539.333,131451.886,69527.527,81948.535,85120.67,283228.454,350630.462,347142.643,0.0,0.0,377359.745,250033.982,288540.604,89673.697,215636.513,103899.737,68863.314,77323.233,77139.956,367175.505,283602.286,46094.023,348023.268,262464.847,1437110.99,286216.331,2400015.3,105091.618,75693.096,544370.742,437582.606,425579.565,92614.873,0.0,1979515.39,1915892.31,3073180.59,0.0,0.0,252271.352,243152.154,200719.34,18573.956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
